"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
;"Marital Status";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
;"35 - 39 years";10;4;6;0;0;0;11;3;7;0;0;1
"065 Cloone";"20 - 24 years";14;14;0;0;0;0;13;12;1;0;0;0
;"25 - 29 years";16;14;2;0;0;0;11;10;1;0;0;0
;"30 - 34 years";8;6;2;0;0;0;6;3;3;0;0;0
;"35 - 39 years";9;4;5;0;0;0;6;0;5;1;0;0
"066 Corriga";"20 - 24 years";6;6;0;0;0;0;2;2;0;0;0;0
;"25 - 29 years";4;3;1;0;0;0;4;2;1;1;0;0
;"30 - 34 years";4;1;3;0;0;0;1;0;1;0;0;0
;"35 - 39 years";5;4;1;0;0;0;8;2;5;1;0;0
"067 Drumard";"20 - 24 years";8;8;0;0;0;0;6;6;0;0;0;0
;"25 - 29 years";6;6;0;0;0;0;5;5;0;0;0;0
;"30 - 34 years";6;4;2;0;0;0;5;2;3;0;0;0
;"35 - 39 years";7;4;3;0;0;0;4;0;3;0;1;0
"068 Drumdoo";"20 - 24 years";12;12;0;0;0;0;7;7;0;0;0;0
;"25 - 29 years";6;5;1;0;0;0;7;5;2;0;0;0
;"30 - 34 years";5;1;4;0;0;0;3;1;2;0;0;0
;"35 - 39 years";9;3;6;0;0;0;6;0;6;0;0;0
"069 Drumod";"20 - 24 years";26;26;0;0;0;0;20;18;2;0;0;0
;"25 - 29 years";34;27;7;0;0;0;35;25;10;0;0;0
;"30 - 34 years";26;10;16;0;0;0;20;4;14;1;1;0
;"35 - 39 years";29;9;19;1;0;0;26;6;17;0;3;0
"070 Fenagh";"20 - 24 years";9;9;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";10;8;2;0;0;0;11;8;3;0;0;0
;"30 - 34 years";8;4;4;0;0;0;7;3;4;0;0;0
;"35 - 39 years";14;2;11;1;0;0;12;1;10;0;1;0
"071 Gortermone";"20 - 24 years";12;12;0;0;0;0;10;10;0;0;0;0
;"25 - 29 years";7;7;0;0;0;0;1;0;1;0;0;0
;"30 - 34 years";4;2;2;0;0;0;5;4;1;0;0;0
;"35 - 39 years";10;5;4;0;1;0;10;2;8;0;0;0
"072 Keeldra";"20 - 24 years";6;6;0;0;0;0;6;6;0;0;0;0
;"25 - 29 years";5;5;0;0;0;0;6;5;1;0;0;0
;"30 - 34 years";5;3;2;0;0;0;4;2;2;0;0;0
;"35 - 39 years";3;1;2;0;0;0;6;2;4;0;0;0
"073 Lisgillock";"20 - 24 years";9;9;0;0;0;0;6;6;0;0;0;0
;"25 - 29 years";9;9;0;0;0;0;4;4;0;0;0;0
;"30 - 34 years";5;4;1;0;0;0;2;1;1;0;0;0
;"35 - 39 years";8;3;5;0;0;0;7;1;6;0;0;0
"074 Mohill";"20 - 24 years";50;46;4;0;0;0;35;31;4;0;0;0
;"25 - 29 years";40;37;1;2;0;0;31;25;5;0;0;1
;"30 - 34 years";56;37;18;1;0;0;48;20;26;2;0;0
;"35 - 39 years";39;13;24;0;1;1;30;9;20;1;0;0
"075 Rinn";"20 - 24 years";11;11;0;0;0;0;3;3;0;0;0;0
;"25 - 29 years";10;10;0;0;0;0;7;5;2;0;0;0
;"30 - 34 years";11;7;3;1;0;0;5;1;4;0;0;0
;"35 - 39 years";10;6;4;0;0;0;11;3;8;0;0;0
"076 Riverstown";"20 - 24 years";8;8;0;0;0;0;8;8;0;0;0;0
;"25 - 29 years";6;5;1;0;0;0;5;4;1;0;0;0
;"30 - 34 years";10;6;3;0;1;0;9;5;4;0;0;0
;"35 - 39 years";8;5;2;1;0;0;5;1;4;0;0;0
"077 Roosky";"20 - 24 years";15;15;0;0;0;0;11;11;0;0;0;0
;"25 - 29 years";25;24;1;0;0;0;11;8;3;0;0;0
;"30 - 34 years";13;7;6;0;0;0;17;9;8;0;0;0
;"35 - 39 years";14;6;6;2;0;0;18;8;8;1;0;1
"078 Rowan";"20 - 24 years";8;8;0;0;0;0;7;7;0;0;0;0
;"25 - 29 years";10;10;0;0;0;0;8;5;3;0;0;0
;"30 - 34 years";6;2;4;0;0;0;7;3;4;0;0;0
;"35 - 39 years";9;3;6;0;0;0;7;0;6;0;1;0
"Mayo County";"20 - 24 years";4122;4021;100;0;1;0;3505;3313;181;10;1;0
;"25 - 29 years";4086;3394;666;12;8;6;3797;2655;1086;36;16;4
;"30 - 34 years";4226;2151;1992;42;37;4;3994;1537;2297;98;46;16
;"35 - 39 years";4357;1407;2765;97;76;12;4182;998;2865;163;129;27
"001 Ardnaree South Urban";"20 - 24 years";86;83;3;0;0;0;82;78;3;1;0;0
;"25 - 29 years";89;72;17;0;0;0;111;89;19;2;0;1
;"30 - 34 years";79;46;33;0;0;0;96;60;31;2;2;1
;"35 - 39 years";93;43;44;4;1;1;98;33;51;10;3;1
"002 Ballina Urban";"20 - 24 years";190;187;3;0;0;0;180;171;8;1;0;0
;"25 - 29 years";179;151;24;1;1;2;156;127;26;2;1;0
;"30 - 34 years";162;106;50;5;0;1;156;86;59;7;2;2
;"35 - 39 years";132;72;56;3;1;0;113;39;54;11;8;1
"003 Castlebar Urban";"20 - 24 years";368;362;6;0;0;0;333;322;9;2;0;0
;"25 - 29 years";312;266;45;1;0;0;290;229;56;4;1;0
;"30 - 34 years";255;156;92;1;5;1;212;113;86;7;6;0
;"35 - 39 years";190;76;92;18;3;1;191;74;89;12;14;2
"004 Westport Urban";"20 - 24 years";185;181;4;0;0;0;238;228;10;0;0;0
;"25 - 29 years";240;209;28;0;1;2;254;210;36;4;4;0
;"30 - 34 years";203;126;71;2;4;0;189;109;70;7;3;0
;"35 - 39 years";183;79;91;6;6;1;158;60;84;7;6;1
"005 Ardagh";"20 - 24 years";8;8;0;0;0;0;8;8;0;0;0;0
;"25 - 29 years";8;7;1;0;0;0;8;4;4;0;0;0
;"30 - 34 years";12;6;6;0;0;0;9;4;5;0;0;0
;"35 - 39 years";10;3;7;0;0;0;12;2;10;0;0;0
"006 Ardnaree North";"20 - 24 years";25;24;1;0;0;0;22;21;1;0;0;0
;"25 - 29 years";17;13;4;0;0;0;17;11;6;0;0;0
;"30 - 34 years";23;7;16;0;0;0;36;6;30;0;0;0
;"35 - 39 years";43;8;33;1;1;0;35;2;30;3;0;0
"007 Ardnaree South Rural";"20 - 24 years";61;54;7;0;0;0;65;53;12;0;0;0
;"25 - 29 years";102;79;23;0;0;0;105;81;24;0;0;0
;"30 - 34 years";123;50;71;1;1;0;134;54;76;2;2;0
;"35 - 39 years";100;35;61;3;1;0;111;33;69;3;5;1
"008 Attymass East";"20 - 24 years";2;2;0;0;0;0;2;2;0;0;0;0
;"25 - 29 years";8;7;1;0;0;0;7;5;2;0;0;0
;"30 - 34 years";7;3;4;0;0;0;16;7;9;0;0;0
;"35 - 39 years";22;3;18;0;0;1;15;2;12;0;1;0
"009 Attymass West";"20 - 24 years";9;9;0;0;0;0;3;3;0;0;0;0
;"25 - 29 years";4;3;1;0;0;0;3;1;2;0;0;0
;"30 - 34 years";8;4;4;0;0;0;4;1;3;0;0;0
;"35 - 39 years";3;0;3;0;0;0;9;3;5;0;1;0
"010 Ballina Rural";"20 - 24 years";103;100;3;0;0;0;70;67;3;0;0;0
;"25 - 29 years";72;55;17;0;0;0;89;58;30;1;0;0
;"30 - 34 years";109;53;56;0;0;0;83;27;50;5;0;1
;"35 - 39 years";109;30;74;3;2;0;97;11;78;5;3;0
"011 Ballycastle";"20 - 24 years";14;14;0;0;0;0;15;14;1;0;0;0
;"25 - 29 years";11;9;2;0;0;0;10;7;3;0;0;0
;"30 - 34 years";14;9;5;0;0;0;6;2;3;1;0;0
;"35 - 39 years";24;12;11;0;1;0;21;8;12;0;1;0
"012 Ballysakeery";"20 - 24 years";20;20;0;0;0;0;18;18;0;0;0;0
;"25 - 29 years";13;12;1;0;0;0;8;4;4;0;0;0
;"30 - 34 years";20;10;10;0;0;0;12;0;12;0;0;0
;"35 - 39 years";24;9;15;0;0;0;19;2;16;1;0;0
"013 Béal Deirg Mór";"20 - 24 years";7;7;0;0;0;0;5;5;0;0;0;0
;"25 - 29 years";4;4;0;0;0;0;1;1;0;0;0;0
;"30 - 34 years";4;4;0;0;0;0;2;1;1;0;0;0
;"35 - 39 years";5;3;2;0;0;0;3;0;2;1;0;0
"014 Bunaveela";"20 - 24 years";2;2;0;0;0;0;7;7;0;0;0;0
;"25 - 29 years";2;2;0;0;0;0;1;1;0;0;0;0
;"30 - 34 years";3;2;1;0;0;0;2;1;1;0;0;0
;"35 - 39 years";2;2;0;0;0;0;1;0;1;0;0;0
"015 Carrowmore";"20 - 24 years";19;19;0;0;0;0;13;13;0;0;0;0
;"25 - 29 years";23;18;5;0;0;0;21;8;13;0;0;0
;"30 - 34 years";31;14;17;0;0;0;32;10;22;0;0;0
;"35 - 39 years";35;7;27;0;1;0;26;5;17;2;0;2
"016 Crossmolina North";"20 - 24 years";26;26;0;0;0;0;15;15;0;0;0;0
;"25 - 29 years";30;27;3;0;0;0;31;25;6;0;0;0
;"30 - 34 years";36;22;14;0;0;0;43;17;24;0;1;1
;"35 - 39 years";41;17;21;2;0;1;29;8;20;1;0;0
"017 Crossmolina South";"20 - 24 years";21;20;1;0;0;0;14;13;1;0;0;0
;"25 - 29 years";18;12;6;0;0;0;18;6;12;0;0;0
;"30 - 34 years";25;10;14;0;1;0;26;7;19;0;0;0
;"35 - 39 years";34;6;26;0;2;0;27;7;19;1;0;0
"018 Deel";"20 - 24 years";20;20;0;0;0;0;12;12;0;0;0;0
;"25 - 29 years";10;9;1;0;0;0;9;6;3;0;0;0
;"30 - 34 years";7;3;4;0;0;0;8;0;8;0;0;0
;"35 - 39 years";21;9;11;0;1;0;13;2;11;0;0;0
"019 Derry";"20 - 24 years";7;7;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";9;8;1;0;0;0;4;1;2;1;0;0
;"30 - 34 years";5;4;1;0;0;0;2;1;1;0;0;0
;"35 - 39 years";7;4;3;0;0;0;4;0;4;0;0;0
"020 Fortland";"20 - 24 years";13;12;1;0;0;0;7;7;0;0;0;0
;"25 - 29 years";10;10;0;0;0;0;11;5;5;1;0;0
;"30 - 34 years";21;5;16;0;0;0;15;5;10;0;0;0
;"35 - 39 years";14;1;11;2;0;0;18;0;17;0;0;1
"021 Kilfian East";"20 - 24 years";9;9;0;0;0;0;1;1;0;0;0;0
;"25 - 29 years";5;4;1;0;0;0;7;4;3;0;0;0
;"30 - 34 years";6;3;3;0;0;0;7;2;5;0;0;0
;"35 - 39 years";9;2;7;0;0;0;6;1;5;0;0;0
"022 Kilfian South";"20 - 24 years";9;8;1;0;0;0;2;2;0;0;0;0
;"25 - 29 years";5;4;1;0;0;0;6;3;3;0;0;0
;"30 - 34 years";7;3;4;0;0;0;6;1;4;1;0;0
;"35 - 39 years";8;1;6;0;0;1;5;1;4;0;0;0
"023 Kilfian West";"20 - 24 years";6;6;0;0;0;0;5;5;0;0;0;0
;"25 - 29 years";6;5;0;1;0;0;4;2;2;0;0;0
;"30 - 34 years";7;6;1;0;0;0;5;4;0;1;0;0
;"35 - 39 years";2;0;2;0;0;0;4;2;2;0;0;0
"024 Kilgarvan";"20 - 24 years";24;24;0;0;0;0;17;17;0;0;0;0
;"25 - 29 years";21;21;0;0;0;0;11;7;4;0;0;0
;"30 - 34 years";17;9;8;0;0;0;22;9;13;0;0;0
;"35 - 39 years";21;5;16;0;0;0;20;5;15;0;0;0
"025 Killala";"20 - 24 years";35;35;0;0;0;0;27;26;1;0;0;0
;"25 - 29 years";36;33;3;0;0;0;30;18;11;1;0;0
;"30 - 34 years";49;20;29;0;0;0;46;13;32;1;0;0
;"35 - 39 years";41;16;22;1;2;0;43;15;23;5;0;0
"026 Lackan North";"20 - 24 years";11;11;0;0;0;0;6;6;0;0;0;0
;"25 - 29 years";5;5;0;0;0;0;5;5;0;0;0;0
;"30 - 34 years";9;8;1;0;0;0;10;6;4;0;0;0
;"35 - 39 years";14;6;8;0;0;0;11;1;8;0;1;1
"027 Lackan South";"20 - 24 years";10;10;0;0;0;0;5;5;0;0;0;0
;"25 - 29 years";11;10;0;0;1;0;4;3;1;0;0;0
;"30 - 34 years";14;7;7;0;0;0;10;3;7;0;0;0
;"35 - 39 years";14;5;9;0;0;0;19;5;12;1;1;0
"028 Letterbrick";"20 - 24 years";3;3;0;0;0;0;2;2;0;0;0;0
;"25 - 29 years";5;4;1;0;0;0;1;0;1;0;0;0
;"30 - 34 years";5;5;0;0;0;0;3;2;1;0;0;0
;"35 - 39 years";5;0;5;0;0;0;5;1;4;0;0;0
"029 Mount Falcon";"20 - 24 years";31;31;0;0;0;0;35;33;2;0;0;0
;"25 - 29 years";36;30;6;0;0;0;28;13;15;0;0;0
;"30 - 34 years";47;19;28;0;0;0;46;15;30;1;0;0
;"35 - 39 years";50;14;35;1;0;0;49;5;42;2;0;0
"030 Rathoma";"20 - 24 years";9;9;0;0;0;0;3;3;0;0;0;0
;"25 - 29 years";7;7;0;0;0;0;5;5;0;0;0;0
;"30 - 34 years";7;5;2;0;0;0;5;3;2;0;0;0
;"35 - 39 years";4;0;4;0;0;0;12;3;9;0;0;0
"031 Sallymount";"20 - 24 years";19;19;0;0;0;0;7;7;0;0;0;0
;"25 - 29 years";9;7;2;0;0;0;11;7;4;0;0;0
;"30 - 34 years";10;5;5;0;0;0;14;5;7;1;0;1
;"35 - 39 years";18;9;8;1;0;0;11;4;7;0;0;0
"032 Sraheen";"20 - 24 years";29;29;0;0;0;0;25;23;2;0;0;0
;"25 - 29 years";30;23;6;1;0;0;18;15;3;0;0;0
;"30 - 34 years";37;20;17;0;0;0;40;8;31;1;0;0
;"35 - 39 years";41;8;32;0;1;0;38;7;27;3;1;0
"033 Baile an Chalaidh";"20 - 24 years";5;5;0;0;0;0;8;7;1;0;0;0
;"25 - 29 years";6;4;2;0;0;0;4;2;2;0;0;0
;"30 - 34 years";8;4;4;0;0;0;6;2;4;0;0;0
;"35 - 39 years";10;2;8;0;0;0;10;4;4;1;0;1
"034 Ballinrobe";"20 - 24 years";166;154;12;0;0;0;114;97;17;0;0;0
;"25 - 29 years";172;118;52;2;0;0;132;75;55;1;1;0
;"30 - 34 years";160;69;87;1;3;0;129;43;79;5;2;0
;"35 - 39 years";134;25;99;5;5;0;110;21;79;4;4;2
"035 Baile Óbha";"20 - 24 years";4;4;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";4;4;0;0;0;0;4;4;0;0;0;0
;"30 - 34 years";6;5;1;0;0;0;7;5;2;0;0;0
;"35 - 39 years";6;1;5;0;0;0;9;4;5;0;0;0
"036 Burriscarra";"20 - 24 years";14;14;0;0;0;0;14;14;0;0;0;0
;"25 - 29 years";13;11;2;0;0;0;6;4;2;0;0;0
;"30 - 34 years";12;6;6;0;0;0;12;5;6;1;0;0
;"35 - 39 years";8;2;6;0;0;0;11;3;8;0;0;0
"037 An Cheapaigh Dhuibh";"20 - 24 years";12;12;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";8;7;1;0;0;0;4;2;2;0;0;0
;"30 - 34 years";9;3;6;0;0;0;10;1;9;0;0;0
;"35 - 39 years";11;1;10;0;0;0;9;3;5;0;1;0
"038 Cong";"20 - 24 years";29;29;0;0;0;0;21;20;1;0;0;0
;"25 - 29 years";38;31;7;0;0;0;30;22;8;0;0;0
;"30 - 34 years";19;8;11;0;0;0;20;9;10;1;0;0
;"35 - 39 years";21;7;14;0;0;0;25;4;20;1;0;0
"039 Coonard";"20 - 24 years";11;11;0;0;0;0;9;9;0;0;0;0
;"25 - 29 years";8;8;0;0;0;0;3;2;1;0;0;0
;"30 - 34 years";4;1;3;0;0;0;5;2;2;1;0;0
;"35 - 39 years";10;4;6;0;0;0;8;1;7;0;0;0
"040 Dalgan";"20 - 24 years";43;43;0;0;0;0;29;29;0;0;0;0
;"25 - 29 years";51;46;5;0;0;0;29;18;11;0;0;0
;"30 - 34 years";44;18;25;1;0;0;49;15;33;1;0;0
;"35 - 39 years";52;20;32;0;0;0;31;2;28;0;1;0
"041 Hollymount";"20 - 24 years";19;18;1;0;0;0;16;16;0;0;0;0
;"25 - 29 years";19;17;2;0;0;0;21;17;3;0;1;0
;"30 - 34 years";21;12;8;1;0;0;24;10;14;0;0;0
;"35 - 39 years";29;10;19;0;0;0;20;2;18;0;0;0
"042 Houndswood";"20 - 24 years";14;14;0;0;0;0;9;8;1;0;0;0
;"25 - 29 years";19;16;3;0;0;0;16;9;7;0;0;0
;"30 - 34 years";23;10;13;0;0;0;15;3;12;0;0;0
;"35 - 39 years";22;7;13;1;1;0;20;4;13;0;3;0
"043 Kilcommon";"20 - 24 years";17;16;1;0;0;0;19;18;1;0;0;0
;"25 - 29 years";18;15;3;0;0;0;17;7;10;0;0;0
;"30 - 34 years";21;12;8;0;1;0;8;5;3;0;0;0
;"35 - 39 years";28;9;18;1;0;0;24;4;20;0;0;0
"044 Kilmaine";"20 - 24 years";33;32;1;0;0;0;21;19;2;0;0;0
;"25 - 29 years";27;20;6;0;1;0;28;22;6;0;0;0
;"30 - 34 years";29;16;13;0;0;0;34;12;22;0;0;0
;"35 - 39 years";33;10;21;2;0;0;28;6;19;2;1;0
"045 Neale";"20 - 24 years";23;21;2;0;0;0;23;22;1;0;0;0
;"25 - 29 years";23;21;2;0;0;0;19;12;7;0;0;0
;"30 - 34 years";17;10;7;0;0;0;22;10;12;0;0;0
;"35 - 39 years";27;12;14;1;0;0;21;6;14;1;0;0
"046 Newbrook";"20 - 24 years";18;18;0;0;0;0;11;11;0;0;0;0
;"25 - 29 years";20;19;1;0;0;0;12;8;3;1;0;0
;"30 - 34 years";20;11;9;0;0;0;16;6;9;0;1;0
;"35 - 39 years";19;4;14;1;0;0;15;3;12;0;0;0
"047 Abhainn Bhrain";"20 - 24 years";10;9;1;0;0;0;8;8;0;0;0;0
;"25 - 29 years";7;5;2;0;0;0;7;6;1;0;0;0
;"30 - 34 years";7;4;3;0;0;0;6;3;3;0;0;0
;"35 - 39 years";8;6;2;0;0;0;5;0;5;0;0;0
"048 Partraí";"20 - 24 years";9;9;0;0;0;0;7;6;1;0;0;0
;"25 - 29 years";16;13;3;0;0;0;16;13;3;0;0;0
;"30 - 34 years";13;8;4;0;1;0;9;2;7;0;0;0
;"35 - 39 years";20;7;13;0;0;0;19;5;14;0;0;0
"049 Roslee";"20 - 24 years";13;13;0;0;0;0;15;14;1;0;0;0
;"25 - 29 years";15;13;2;0;0;0;11;7;4;0;0;0
;"30 - 34 years";13;3;10;0;0;0;8;3;5;0;0;0
;"35 - 39 years";13;4;9;0;0;0;16;5;11;0;0;0
"050 Shrule";"20 - 24 years";29;29;0;0;0;0;19;19;0;0;0;0
;"25 - 29 years";35;29;6;0;0;0;29;17;12;0;0;0
;"30 - 34 years";36;11;25;0;0;0;42;9;33;0;0;0
;"35 - 39 years";54;15;39;0;0;0;47;10;36;0;0;1
"051 An Geata Mór Thuaidh";"20 - 24 years";22;21;1;0;0;0;19;19;0;0;0;0
;"25 - 29 years";17;14;3;0;0;0;19;12;7;0;0;0
;"30 - 34 years";24;11;13;0;0;0;20;4;16;0;0;0
;"35 - 39 years";23;6;16;0;1;0;26;4;22;0;0;0
"052 An Geata Mór Theas";"20 - 24 years";33;33;0;0;0;0;19;18;1;0;0;0
;"25 - 29 years";18;16;2;0;0;0;9;6;2;1;0;0
;"30 - 34 years";21;14;7;0;0;0;17;6;11;0;0;0
;"35 - 39 years";27;10;15;1;1;0;24;4;16;3;1;0
"053 Bangor";"20 - 24 years";11;11;0;0;0;0;12;12;0;0;0;0
;"25 - 29 years";8;5;2;0;0;1;6;5;1;0;0;0
;"30 - 34 years";11;6;5;0;0;0;14;5;8;0;1;0
;"35 - 39 years";15;4;10;0;1;0;19;3;13;2;1;0
"054 Barr Rúscaí";"20 - 24 years";7;7;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";6;6;0;0;0;0;3;3;0;0;0;0
;"30 - 34 years";2;2;0;0;0;0;2;0;2;0;0;0
;"35 - 39 years";4;1;3;0;0;0;3;0;3;0;0;0
"055 Béal an Mhuirthead";"20 - 24 years";77;69;8;0;0;0;76;70;6;0;0;0
;"25 - 29 years";58;49;9;0;0;0;63;46;16;1;0;0
;"30 - 34 years";71;32;37;2;0;0;66;23;40;0;3;0
;"35 - 39 years";63;17;40;2;4;0;76;20;45;4;7;0
"056 Gleann na Muaidhe";"20 - 24 years";9;9;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";7;5;2;0;0;0;9;8;1;0;0;0
;"30 - 34 years";8;5;3;0;0;0;6;2;3;1;0;0
;"35 - 39 years";8;7;1;0;0;0;7;2;4;1;0;0
"057 Gleann Chaisil";"20 - 24 years";14;14;0;0;0;0;13;13;0;0;0;0
;"25 - 29 years";15;12;3;0;0;0;14;9;5;0;0;0
;"30 - 34 years";19;8;10;1;0;0;11;2;9;0;0;0
;"35 - 39 years";14;4;9;1;0;0;14;2;12;0;0;0
"058/065 Glenco/Sheskin";"20 - 24 years";3;3;0;0;0;0;2;2;0;0;0;0
;"25 - 29 years";2;2;0;0;0;0;2;2;0;0;0;0
;"30 - 34 years";4;3;1;0;0;0;3;2;1;0;0;0
;"35 - 39 years";3;1;2;0;0;0;5;0;5;0;0;0
"059 Guala Mhór";"20 - 24 years";5;5;0;0;0;0;5;5;0;0;0;0
;"25 - 29 years";3;3;0;0;0;0;2;1;1;0;0;0
;"30 - 34 years";3;2;1;0;0;0;1;1;0;0;0;0
;"35 - 39 years";0;0;0;0;0;0;3;1;2;0;0;0
"060 Cnoc an Daimh";"20 - 24 years";3;3;0;0;0;0;10;10;0;0;0;0
;"25 - 29 years";7;6;1;0;0;0;7;4;3;0;0;0
;"30 - 34 years";7;4;3;0;0;0;9;3;6;0;0;0
;"35 - 39 years";10;3;7;0;0;0;9;2;6;0;1;0
"061 Cnoc na Lobhar";"20 - 24 years";27;27;0;0;0;0;24;24;0;0;0;0
;"25 - 29 years";17;16;1;0;0;0;11;6;5;0;0;0
;"30 - 34 years";17;11;6;0;0;0;13;4;9;0;0;0
;"35 - 39 years";22;8;14;0;0;0;28;5;23;0;0;0
"062 Moing na Bó";"20 - 24 years";13;13;0;0;0;0;12;12;0;0;0;0
;"25 - 29 years";4;3;1;0;0;0;4;3;1;0;0;0
;"30 - 34 years";10;7;3;0;0;0;14;7;6;1;0;0
;"35 - 39 years";8;1;7;0;0;0;8;2;5;0;1;0
"063 Na Monga";"20 - 24 years";6;6;0;0;0;0;4;4;0;0;0;0
;"25 - 29 years";4;3;1;0;0;0;9;7;2;0;0;0
;"30 - 34 years";8;4;4;0;0;0;5;1;4;0;0;0
;"35 - 39 years";3;3;0;0;0;0;9;1;7;0;0;1
"064 Cnoc na Ráithe";"20 - 24 years";22;22;0;0;0;0;12;10;2;0;0;0
;"25 - 29 years";18;17;1;0;0;0;13;10;3;0;0;0
;"30 - 34 years";18;8;9;1;0;0;17;7;10;0;0;0
;"35 - 39 years";25;7;17;0;1;0;32;10;22;0;0;0
"066 Addergoole";"20 - 24 years";23;22;1;0;0;0;24;22;2;0;0;0
;"25 - 29 years";29;24;5;0;0;0;24;14;10;0;0;0
;"30 - 34 years";28;9;19;0;0;0;25;6;18;1;0;0
;"35 - 39 years";25;9;15;1;0;0;22;5;15;0;2;0
"067 Balla";"20 - 24 years";42;41;1;0;0;0;32;31;1;0;0;0
;"25 - 29 years";44;35;9;0;0;0;51;33;18;0;0;0
;"30 - 34 years";48;21;27;0;0;0;59;23;35;0;0;1
;"35 - 39 years";61;20;40;1;0;0;52;12;33;3;3;1
"068 Ballinafad";"20 - 24 years";13;12;1;0;0;0;11;8;3;0;0;0
;"25 - 29 years";13;11;2;0;0;0;10;6;4;0;0;0
;"30 - 34 years";20;9;10;1;0;0;18;8;9;1;0;0
;"35 - 39 years";24;8;15;1;0;0;24;5;18;1;0;0
"069 Ballyhean";"20 - 24 years";10;10;0;0;0;0;18;18;0;0;0;0
;"25 - 29 years";11;10;1;0;0;0;14;9;5;0;0;0
;"30 - 34 years";16;8;8;0;0;0;12;3;8;0;1;0
;"35 - 39 years";23;7;16;0;0;0;22;2;19;0;1;0
"070 Ballynagoraher";"20 - 24 years";6;6;0;0;0;0;6;5;0;1;0;0
;"25 - 29 years";4;3;1;0;0;0;8;6;2;0;0;0
;"30 - 34 years";10;4;6;0;0;0;9;3;5;0;0;1
;"35 - 39 years";13;3;10;0;0;0;12;1;11;0;0;0
"071 Bellavary";"20 - 24 years";29;29;0;0;0;0;24;24;0;0;0;0
;"25 - 29 years";19;16;3;0;0;0;22;10;12;0;0;0
;"30 - 34 years";30;11;19;0;0;0;33;11;21;1;0;0
;"35 - 39 years";36;11;23;0;1;1;34;6;24;2;2;0
"072 Breaghwy";"20 - 24 years";47;46;1;0;0;0;43;41;2;0;0;0
;"25 - 29 years";43;38;4;1;0;0;33;23;9;1;0;0
;"30 - 34 years";53;19;34;0;0;0;58;13;44;1;0;0
;"35 - 39 years";80;14;63;0;3;0;72;8;62;1;1;0
"073 Burren";"20 - 24 years";17;17;0;0;0;0;6;6;0;0;0;0
;"25 - 29 years";5;5;0;0;0;0;4;4;0;0;0;0
;"30 - 34 years";7;3;4;0;0;0;14;3;10;0;1;0
;"35 - 39 years";13;4;9;0;0;0;6;1;5;0;0;0
"074 Castlebar Rural";"20 - 24 years";200;192;8;0;0;0;263;244;18;1;0;0
;"25 - 29 years";311;245;63;2;1;0;370;280;86;2;2;0
;"30 - 34 years";326;174;143;6;2;1;346;156;167;13;7;3
;"35 - 39 years";266;68;181;8;8;1;285;90;177;9;9;0
"075 Clogher";"20 - 24 years";15;15;0;0;0;0;14;14;0;0;0;0
;"25 - 29 years";20;17;3;0;0;0;23;13;10;0;0;0
;"30 - 34 years";18;5;13;0;0;0;16;5;10;1;0;0
;"35 - 39 years";16;6;10;0;0;0;12;3;9;0;0;0
"076 Cloonkeen";"20 - 24 years";27;27;0;0;0;0;25;25;0;0;0;0
;"25 - 29 years";34;32;2;0;0;0;12;9;3;0;0;0
;"30 - 34 years";12;7;5;0;0;0;16;4;12;0;0;0
;"35 - 39 years";23;6;16;0;0;1;19;2;15;1;0;1
"077 Croaghmoyle";"20 - 24 years";4;4;0;0;0;0;7;7;0;0;0;0
;"25 - 29 years";3;3;0;0;0;0;0;0;0;0;0;0
;"30 - 34 years";4;1;3;0;0;0;5;3;2;0;0;0
;"35 - 39 years";2;0;2;0;0;0;5;1;4;0;0;0
"078 Killavally";"20 - 24 years";28;28;0;0;0;0;11;11;0;0;0;0
;"25 - 29 years";19;16;3;0;0;0;14;11;3;0;0;0
;"30 - 34 years";13;8;5;0;0;0;11;4;7;0;0;0
;"35 - 39 years";13;3;10;0;0;0;16;5;11;0;0;0
"079 Manulla";"20 - 24 years";32;32;0;0;0;0;18;18;0;0;0;0
;"25 - 29 years";19;16;3;0;0;0;18;5;13;0;0;0
;"30 - 34 years";31;11;18;1;1;0;28;2;25;1;0;0
;"35 - 39 years";36;6;30;0;0;0;32;4;25;1;2;0
"080 Pontoon";"20 - 24 years";18;18;0;0;0;0;6;6;0;0;0;0
;"25 - 29 years";14;13;1;0;0;0;12;8;4;0;0;0
;"30 - 34 years";15;7;8;0;0;0;10;4;6;0;0;0
;"35 - 39 years";8;3;4;0;1;0;12;4;7;1;0;0
"081 Strade";"20 - 24 years";20;20;0;0;0;0;14;13;1;0;0;0
;"25 - 29 years";21;15;6;0;0;0;13;9;4;0;0;0
;"30 - 34 years";10;7;3;0;0;0;11;3;8;0;0;0
;"35 - 39 years";18;6;12;0;0;0;14;4;10;0;0;0
